movie_id,male_count,female_count,occupation_0,occupation_1,occupation_2,occupation_3,occupation_4,occupation_5,occupation_6,occupation_7,occupation_8,occupation_9,occupation_10,occupation_11,occupation_12,occupation_13,occupation_14,occupation_15,occupation_16,occupation_17,occupation_18,occupation_19,occupation_20,age_50-55,age_Under 18,age_18-24,age_35-44,age_56+,age_25-34,age_45-49,Horror,Animation,Romance,Children's,Western,Crime,Film-Noir,Comedy,Adventure,Musical,Thriller,War,Documentary,Mystery,Action,Fantasy,Sci-Fi,Drama,average score
11,654.0,379.0,132.0,103.0,47.0,42.0,127.0,16.0,53.0,125.0,3.0,21.0,17.0,20.0,54.0,17.0,59.0,20.0,50.0,59.0,10.0,11.0,47.0,80.0,21.0,183.0,211.0,52.0,396.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7938044530493706
12,132.0,28.0,25.0,10.0,7.0,3.0,28.0,6.0,4.0,10.0,,2.0,11.0,4.0,5.0,3.0,8.0,,10.0,8.0,3.0,5.0,8.0,10.0,10.0,50.0,22.0,7.0,52.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3625
13,71.0,28.0,20.0,3.0,4.0,1.0,16.0,3.0,3.0,8.0,,1.0,9.0,4.0,5.0,,2.0,1.0,4.0,10.0,,1.0,4.0,5.0,11.0,21.0,31.0,,25.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2626262626262625
14,125.0,28.0,17.0,21.0,10.0,3.0,18.0,4.0,6.0,14.0,,1.0,3.0,5.0,9.0,1.0,7.0,2.0,10.0,7.0,4.0,1.0,10.0,8.0,4.0,25.0,28.0,5.0,65.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.542483660130719
15,126.0,20.0,28.0,9.0,6.0,6.0,22.0,2.0,6.0,14.0,,2.0,6.0,1.0,8.0,1.0,1.0,3.0,3.0,15.0,3.0,1.0,9.0,12.0,5.0,27.0,27.0,3.0,58.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.458904109589041
16,549.0,133.0,90.0,53.0,28.0,24.0,100.0,15.0,25.0,77.0,2.0,3.0,9.0,13.0,34.0,3.0,46.0,22.0,38.0,44.0,11.0,11.0,34.0,36.0,11.0,144.0,105.0,17.0,331.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7932551319648096
17,415.0,420.0,95.0,111.0,57.0,26.0,97.0,7.0,39.0,88.0,2.0,29.0,14.0,18.0,35.0,19.0,36.0,13.0,41.0,37.0,1.0,10.0,60.0,83.0,16.0,117.0,186.0,51.0,293.0,89.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.027544910179641
18,130.0,27.0,19.0,7.0,11.0,7.0,31.0,5.0,4.0,15.0,,,3.0,3.0,8.0,1.0,9.0,3.0,5.0,6.0,4.0,3.0,13.0,3.0,3.0,50.0,16.0,2.0,81.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.337579617834395
19,300.0,89.0,55.0,25.0,14.0,9.0,80.0,13.0,16.0,32.0,2.0,3.0,20.0,8.0,17.0,5.0,18.0,2.0,18.0,21.0,9.0,7.0,15.0,22.0,21.0,111.0,56.0,12.0,145.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.480719794344473
20,145.0,15.0,34.0,7.0,5.0,4.0,29.0,8.0,3.0,13.0,,1.0,2.0,1.0,8.0,,10.0,1.0,9.0,14.0,2.0,3.0,6.0,6.0,3.0,44.0,28.0,3.0,70.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5375
21,1070.0,286.0,173.0,103.0,72.0,40.0,161.0,30.0,46.0,165.0,2.0,17.0,20.0,32.0,71.0,17.0,77.0,37.0,60.0,118.0,13.0,21.0,81.0,104.0,26.0,212.0,270.0,44.0,596.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.6238938053097347
22,272.0,106.0,58.0,32.0,18.0,13.0,52.0,8.0,15.0,42.0,1.0,5.0,4.0,5.0,10.0,1.0,25.0,6.0,22.0,28.0,6.0,6.0,21.0,16.0,6.0,80.0,68.0,10.0,176.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3492063492063493
23,107.0,19.0,27.0,5.0,5.0,5.0,25.0,3.0,2.0,13.0,,1.0,3.0,1.0,7.0,,3.0,1.0,5.0,11.0,3.0,1.0,5.0,3.0,1.0,38.0,18.0,,57.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857142857142857
24,486.0,138.0,81.0,39.0,28.0,17.0,111.0,21.0,25.0,53.0,3.0,7.0,20.0,3.0,41.0,3.0,35.0,8.0,30.0,51.0,11.0,11.0,26.0,30.0,21.0,154.0,112.0,19.0,240.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.1794871794871793
25,681.0,299.0,118.0,98.0,62.0,32.0,132.0,17.0,53.0,105.0,2.0,10.0,7.0,22.0,45.0,13.0,56.0,23.0,47.0,60.0,7.0,15.0,56.0,86.0,9.0,162.0,169.0,41.0,441.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6510204081632653
26,68.0,32.0,11.0,13.0,8.0,3.0,26.0,,3.0,6.0,,,4.0,1.0,1.0,1.0,2.0,6.0,1.0,3.0,,,11.0,5.0,2.0,36.0,11.0,2.0,39.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.53
27,23.0,38.0,10.0,4.0,2.0,2.0,14.0,1.0,3.0,4.0,,,5.0,1.0,1.0,1.0,4.0,,2.0,2.0,1.0,,4.0,2.0,6.0,20.0,8.0,1.0,24.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.9344262295081966
28,66.0,113.0,25.0,28.0,8.0,7.0,12.0,,8.0,17.0,,4.0,1.0,8.0,7.0,4.0,7.0,5.0,11.0,4.0,,1.0,22.0,22.0,2.0,26.0,43.0,7.0,58.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.055865921787709
29,335.0,68.0,56.0,26.0,33.0,12.0,74.0,8.0,8.0,19.0,1.0,1.0,5.0,5.0,42.0,,13.0,10.0,12.0,27.0,3.0,7.0,41.0,14.0,8.0,103.0,61.0,3.0,198.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.062034739454094
30,58.0,16.0,10.0,7.0,8.0,1.0,12.0,3.0,1.0,4.0,,,,2.0,5.0,2.0,2.0,4.0,3.0,,1.0,2.0,7.0,9.0,1.0,7.0,8.0,5.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6486486486486487
31,87.0,54.0,20.0,14.0,6.0,4.0,32.0,3.0,5.0,10.0,,2.0,3.0,1.0,9.0,1.0,6.0,1.0,5.0,9.0,1.0,2.0,7.0,6.0,3.0,44.0,21.0,3.0,60.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1134751773049647
32,1233.0,278.0,196.0,110.0,85.0,37.0,218.0,22.0,47.0,141.0,2.0,9.0,34.0,25.0,113.0,14.0,68.0,49.0,55.0,154.0,19.0,29.0,84.0,86.0,37.0,304.0,272.0,29.0,680.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.945731303772336
33,4.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
34,1172.0,579.0,213.0,167.0,83.0,60.0,224.0,27.0,66.0,165.0,4.0,33.0,72.0,43.0,98.0,25.0,73.0,48.0,74.0,132.0,18.0,24.0,102.0,128.0,89.0,282.0,380.0,77.0,640.0,155.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8914905768132497
35,34.0,36.0,15.0,12.0,5.0,2.0,7.0,,3.0,7.0,,2.0,,,2.0,1.0,1.0,1.0,3.0,1.0,,2.0,6.0,7.0,,5.0,19.0,3.0,28.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3142857142857145
36,624.0,304.0,117.0,108.0,57.0,26.0,133.0,16.0,41.0,92.0,2.0,11.0,5.0,26.0,37.0,16.0,43.0,24.0,37.0,52.0,8.0,12.0,65.0,72.0,11.0,163.0,172.0,53.0,373.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9579741379310347
37,5.0,3.0,2.0,1.0,,2.0,2.0,,,1.0,,,,,,,,,,,,,,1.0,,2.0,2.0,,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5
38,14.0,14.0,2.0,2.0,,1.0,9.0,1.0,,1.0,,1.0,5.0,,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,5.0,14.0,3.0,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8214285714285716
39,888.0,474.0,172.0,113.0,65.0,43.0,235.0,24.0,55.0,122.0,2.0,23.0,55.0,24.0,77.0,10.0,75.0,26.0,55.0,82.0,8.0,21.0,75.0,61.0,62.0,332.0,229.0,41.0,545.0,92.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6233480176211454
40,16.0,14.0,5.0,7.0,1.0,,5.0,,1.0,3.0,1.0,,,,,1.0,,,3.0,1.0,1.0,,1.0,4.0,,4.0,4.0,3.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.933333333333333
41,182.0,60.0,19.0,38.0,17.0,8.0,32.0,2.0,11.0,18.0,1.0,1.0,3.0,2.0,11.0,8.0,8.0,7.0,9.0,15.0,3.0,4.0,25.0,27.0,4.0,37.0,38.0,20.0,94.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.958677685950413
42,185.0,36.0,43.0,14.0,14.0,6.0,30.0,5.0,8.0,32.0,,,1.0,4.0,10.0,1.0,13.0,2.0,9.0,12.0,5.0,3.0,9.0,8.0,2.0,53.0,33.0,6.0,105.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.8687782805429864
43,94.0,72.0,23.0,20.0,11.0,7.0,14.0,2.0,13.0,10.0,,2.0,2.0,2.0,8.0,4.0,6.0,5.0,3.0,11.0,3.0,4.0,16.0,17.0,2.0,15.0,43.0,9.0,58.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4457831325301207
44,274.0,37.0,45.0,19.0,13.0,10.0,57.0,10.0,7.0,32.0,2.0,1.0,14.0,5.0,20.0,,13.0,7.0,7.0,26.0,6.0,8.0,9.0,6.0,12.0,105.0,37.0,1.0,139.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.787781350482315
45,390.0,154.0,85.0,44.0,36.0,18.0,68.0,7.0,22.0,50.0,1.0,8.0,6.0,13.0,34.0,5.0,27.0,12.0,27.0,32.0,4.0,10.0,35.0,31.0,10.0,85.0,102.0,15.0,262.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4246323529411766
46,58.0,108.0,21.0,27.0,10.0,9.0,21.0,3.0,10.0,15.0,,4.0,3.0,,8.0,2.0,7.0,1.0,9.0,3.0,,1.0,12.0,11.0,4.0,35.0,28.0,6.0,67.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.108433734939759
47,875.0,262.0,147.0,78.0,51.0,42.0,201.0,26.0,38.0,115.0,2.0,11.0,22.0,25.0,67.0,3.0,61.0,30.0,39.0,84.0,15.0,19.0,61.0,43.0,29.0,297.0,159.0,20.0,538.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.106420404573439
48,225.0,157.0,59.0,33.0,18.0,11.0,69.0,7.0,18.0,18.0,2.0,11.0,25.0,6.0,20.0,2.0,17.0,4.0,10.0,21.0,2.0,3.0,26.0,18.0,29.0,104.0,70.0,5.0,129.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9764397905759163
49,14.0,13.0,,5.0,3.0,1.0,3.0,,1.0,2.0,,,1.0,,,,1.0,,2.0,2.0,,1.0,5.0,1.0,1.0,5.0,4.0,1.0,11.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.740740740740741
50,1370.0,413.0,218.0,146.0,75.0,52.0,285.0,38.0,62.0,191.0,5.0,15.0,22.0,44.0,122.0,18.0,103.0,49.0,75.0,119.0,21.0,26.0,97.0,105.0,33.0,401.0,307.0,51.0,782.0,104.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.517106001121705
52,300.0,131.0,57.0,49.0,40.0,11.0,53.0,5.0,13.0,37.0,1.0,6.0,5.0,12.0,14.0,5.0,22.0,13.0,24.0,18.0,2.0,8.0,36.0,26.0,11.0,66.0,75.0,14.0,196.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.640371229698376
53,6.0,2.0,,3.0,,,2.0,,,,,,,,,,,1.0,1.0,,,,1.0,2.0,,,2.0,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.75
54,26.0,15.0,4.0,1.0,,,9.0,,,2.0,,1.0,15.0,1.0,1.0,,1.0,,1.0,2.0,,,3.0,,15.0,14.0,5.0,,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5609756097560976
55,24.0,21.0,8.0,8.0,4.0,5.0,4.0,,1.0,1.0,,,,,,1.0,2.0,,2.0,1.0,,1.0,7.0,2.0,,2.0,4.0,2.0,28.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.066666666666667
56,8.0,1.0,1.0,1.0,,,,,,1.0,,,2.0,,,,,,,2.0,,1.0,1.0,1.0,2.0,2.0,1.0,,3.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
57,57.0,42.0,18.0,14.0,6.0,3.0,12.0,2.0,5.0,7.0,,1.0,1.0,,4.0,2.0,3.0,,5.0,6.0,1.0,2.0,7.0,8.0,1.0,22.0,13.0,2.0,47.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.404040404040404
58,302.0,199.0,67.0,81.0,32.0,11.0,49.0,3.0,23.0,50.0,,6.0,2.0,9.0,27.0,12.0,25.0,16.0,20.0,21.0,1.0,5.0,41.0,68.0,5.0,59.0,97.0,37.0,181.0,54.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.093812375249501
59,7.0,1.0,,,,,2.0,,,,,,,,1.0,1.0,,,,,,1.0,3.0,,,2.0,,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.75
60,251.0,106.0,56.0,24.0,21.0,9.0,40.0,9.0,15.0,38.0,2.0,8.0,26.0,5.0,15.0,4.0,11.0,8.0,13.0,24.0,7.0,3.0,19.0,26.0,29.0,61.0,88.0,13.0,92.0,48.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.212885154061625
61,41.0,26.0,16.0,3.0,1.0,2.0,9.0,2.0,2.0,7.0,,1.0,1.0,1.0,2.0,1.0,6.0,,3.0,4.0,1.0,,5.0,2.0,2.0,19.0,8.0,2.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
62,363.0,178.0,65.0,58.0,20.0,19.0,81.0,13.0,29.0,56.0,1.0,9.0,12.0,9.0,32.0,10.0,30.0,9.0,22.0,35.0,1.0,5.0,25.0,37.0,12.0,119.0,99.0,26.0,198.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6968576709796674
63,96.0,15.0,21.0,2.0,3.0,6.0,31.0,6.0,4.0,3.0,,1.0,5.0,,4.0,1.0,6.0,,2.0,6.0,3.0,1.0,6.0,,6.0,54.0,7.0,2.0,42.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.855855855855856
64,40.0,39.0,13.0,8.0,4.0,3.0,12.0,2.0,3.0,8.0,,1.0,1.0,3.0,,,5.0,,4.0,3.0,1.0,3.0,5.0,1.0,1.0,21.0,11.0,2.0,39.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2658227848101267
65,113.0,30.0,24.0,7.0,3.0,6.0,35.0,6.0,5.0,9.0,,1.0,7.0,2.0,3.0,,7.0,1.0,6.0,7.0,1.0,5.0,8.0,1.0,8.0,57.0,21.0,,52.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.062937062937063
66,89.0,8.0,15.0,2.0,4.0,2.0,23.0,2.0,3.0,8.0,2.0,,2.0,1.0,5.0,,4.0,1.0,6.0,12.0,2.0,,3.0,5.0,3.0,24.0,16.0,,44.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6701030927835052
67,3.0,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.25
68,35.0,25.0,1.0,4.0,4.0,2.0,3.0,1.0,2.0,10.0,1.0,2.0,2.0,2.0,4.0,,5.0,5.0,1.0,2.0,,2.0,7.0,4.0,1.0,3.0,17.0,2.0,24.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45
69,250.0,69.0,52.0,11.0,14.0,9.0,77.0,15.0,8.0,18.0,1.0,1.0,14.0,2.0,23.0,,17.0,6.0,10.0,20.0,4.0,3.0,14.0,,13.0,150.0,22.0,1.0,129.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6551724137931036
70,774.0,140.0,142.0,44.0,42.0,25.0,152.0,26.0,25.0,95.0,2.0,4.0,17.0,13.0,57.0,3.0,46.0,18.0,34.0,77.0,19.0,22.0,51.0,28.0,22.0,241.0,145.0,11.0,419.0,48.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.1564551422319473
71,87.0,9.0,15.0,9.0,1.0,2.0,19.0,8.0,,10.0,,2.0,4.0,,4.0,,6.0,2.0,4.0,5.0,,2.0,3.0,1.0,4.0,27.0,17.0,,44.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.1041666666666665
